FRAME|INPUT|X|Y|RINGS|LIVES|LEVEL|ACT|SCORE|TIME
FRAME:10|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:20|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:30|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:40|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:50|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:60|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:70|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:80|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:90|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:100|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:110|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:120|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:130|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:140|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:150|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:160|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:170|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:180|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:190|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:200|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:210|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:220|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:230|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:240|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:250|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:260|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:270|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:280|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:290|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:300|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:310|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:320|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:330|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:340|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:350|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:360|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:370|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:380|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:390|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:400|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:410|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:420|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
FRAME:430|INPUT:IDLE|X:0|Y:0|RINGS:0|LIVES:0|LEVEL:0|ACT:0|SCORE:0|TIME:00:00:00
